Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2014.1 379  50.5 110.4   5893.65   2413.77   2413.77   6368.78  49123.40     82.6    22.3
2014.1 379  50.2 112.3   6813.93   2712.69   2712.69   7334.06  49018.83     81.4    21.7
2014.1 379  49.9 114.3   7757.40   2998.23   2998.23   8316.64  48849.15     80.2    21.1
2014.1 379  49.5 116.2   8714.00   3268.14   3268.14   9306.70  48609.71     79.0    20.6
2014.1 379  49.1 118.1   9673.01   3520.40   3520.40  10293.70  48298.15     77.7    20.0
2014.1 379  48.6 120.0  10623.61   3753.22   3753.22  11267.11  47914.43     76.4    19.5
2014.1 379  48.1 121.8  11555.52   3965.15   3965.15  12216.90  47460.65     75.1    18.9
2014.1 379  47.6 123.6  12459.47   4155.14   4155.14  13134.06  46940.81     73.8    18.4
2014.1 379  47.1 125.3  13327.56   4322.53   4322.53  14011.00  46360.45     72.4    18.0
2014.1 379  46.5 127.1  14153.46   4467.10   4467.10  14841.68  45726.33     71.1    17.5
2014.1 379  46.0 128.7  14932.58   4589.00   4589.00  15621.80  45045.98     69.7    17.1
2014.1 379  45.3 130.4  15661.96   4688.78   4688.78  16348.75  44327.42     68.4    16.7
2014.1 379  44.7 132.0  16340.24   4767.31   4767.31  17021.48  43578.76     67.0    16.3
2014.1 379  44.1 133.6  16967.44   4825.73   4825.73  17640.35  42807.98     65.7    15.9
2014.1 379  43.4 135.1  17544.78   4865.42   4865.42  18206.91  42022.70     64.3    15.5
2014.1 379  42.7 136.6  18074.40   4887.92   4887.92  18723.67  41230.00     63.0    15.1
2014.1 379  42.0 138.1  18559.20   4894.87   4894.87  19193.84  40436.32     61.7    14.8
2014.1 379  41.2 139.5  19002.56   4888.00   4888.00  19621.15  39647.43     60.3    14.4
2014.1 379  40.5 141.0  19408.17   4869.04   4869.04  20009.61  38868.34     59.0    14.1
2014.1 378  39.7 142.3  19779.86   4839.73   4839.73  20363.35  38103.36     57.7    13.7
2014.1 378  38.9 143.7  20121.49   4801.75   4801.75  20686.50  37356.12     56.4    13.4
2014.1 378  38.1 145.0  20436.80   4756.73   4756.73  20983.07  36629.61     55.1    13.1
2014.1 378  37.3 146.3  20729.34   4706.20   4706.20  21256.86  35926.24     53.7    12.8
2014.1 378  36.5 147.5  21002.46   4651.62   4651.62  21511.41  35247.90     52.4    12.5
2014.1 378  35.7 148.8  21259.21   4594.33   4594.33  21749.99  34596.05     51.0    12.2
2014.1 378  34.8 150.0  21502.39   4535.57   4535.57  21975.53  33971.75     49.7    11.9
2014.1 378  33.9 151.2  21734.47   4476.46   4476.46  22190.67  33375.73     48.3    11.6
2014.1 378  33.1 152.3  21957.67   4418.03   4418.03  22397.73  32808.45     46.9    11.4
2014.1 378  32.2 153.5  22173.92   4361.20   4361.20  22598.74  32270.16     45.5    11.1
2014.1 378  31.3 154.6  22384.90   4306.78   4306.78  22795.44  31760.91     44.1    10.9
2014.1 378  30.4 155.7  22592.02   4255.49   4255.49  22989.31  31280.62     42.7    10.7
2014.1 378  29.5 156.8  22796.50   4207.95   4207.95  23181.62  30829.11     41.2    10.5
2014.1 378  28.5 157.8  22999.34   4164.71   4164.71  23373.37  30406.11     39.8    10.3
2014.1 378  27.6 158.9  23201.34   4126.20   4126.20  23565.39  30011.29     38.3    10.1
2014.1 378  26.7 159.9  23403.15   4092.82   4092.82  23758.34  29644.30     36.7     9.9
2014.1 378  25.7 160.9  23605.25   4064.84   4064.84  23952.68  29304.74     35.2     9.8
2014.1 378  24.8 161.9  23807.97   4042.49   4042.49  24148.73  28992.25     33.6     9.6
